timeout,duration,makespan,mean_waiting_time
0,7.682211707,102225.352030,54466.616666
1,7.059050441,14341.383015,6932.162673
2,6.885884140,3298.023045,1608.361819
3,8.561049089,2939.411015,1346.074186
4,9.559215680,3034.039030,1608.985557
5,10.712377828,2395.315015,1143.126920
6,10.729109262,2411.772030,1106.130809
7,12.096775843,2425.500015,1090.140015
8,15.213559480,2534.743015,1267.750866
9,14.238101927,2133.715015,1023.883664
10,14.168363371,2242.657015,1006.647789
11,15.389396420,2268.223015,1046.351239
12,15.388850783,2225.106030,1011.593818
13,17.925603948,2237.013015,978.774977
14,18.720530538,2300.955030,1045.656949
15,19.712938032,2173.208030,997.253619
16,22.817969512,2285.180015,1022.138714
17,21.394259644,2234.058015,1009.777519
18,24.068304766,2286.009030,1032.875993
19,19.097606797,2259.169015,1004.289143
20,21.730621478,2178.735015,1013.345612
21,22.857722428,2233.229015,978.293552
22,23.132026950,2201.670015,975.647512
23,22.787308260,2271.403015,991.494926
24,24.330043419,2243.933015,990.663968
25,26.223738715,2230.522030,981.347492
26,32.506738486,2211.432015,997.691554
27,27.252541611,2242.717015,993.029262
28,24.590563932,2239.961015,998.669972
29,28.276322107,2128.948015,980.312087
30,30.230932129,2239.236030,977.944637
31,29.806275841,2252.751015,995.590232
32,29.763778339,2208.775015,952.934336
33,29.583965973,2238.715015,986.219866
34,30.601058122,2190.551015,991.490096
35,30.548227826,2207.655030,970.678642
36,28.587014324,2240.102015,988.905952
37,32.903419214,2229.745015,982.304291
38,31.109179003,2230.115015,967.363586
39,34.484690591,2239.412015,976.560896
40,31.819219099,2234.080015,983.732616
41,35.320148906,2236.379015,978.649531
42,36.725945588,2228.857015,982.973111
43,36.066145317,2232.845015,977.770167
44,35.513100591,2230.619015,990.359191
45,36.368636284,2178.620015,965.229686
46,39.455592221,2228.571015,974.302916
47,37.548129374,2230.781015,966.988241
48,38.934330865,2225.082015,976.774367
49,41.954397546,2228.517015,971.121887
50,38.538544593,2224.525015,979.623656
51,46.694342901,2246.888015,977.294231
52,40.181102272,2229.433015,987.693271
53,43.990472591,2234.553015,991.860836
54,40.821619442,2230.281030,949.369861
55,43.045070700,2224.957030,963.145412
56,40.676041091,2227.554030,971.548326
57,49.724468591,2228.531015,980.766996
58,39.393754986,2221.942015,962.487667
59,44.708544814,2221.944015,951.361221
60,41.728160817,2226.863015,962.766026
61,43.776532069,2224.636015,983.819816
62,46.122174542,2225.695015,970.319846
63,49.095531312,2224.974015,969.709461
64,46.839355344,2242.101015,995.510581
65,43.134781682,2244.998015,985.420866
66,44.657887116,2225.824015,974.518081
67,47.650927531,2224.138015,966.268026
68,50.637639010,2223.877015,943.865246
69,50.195119051,2222.184015,961.165371
70,46.232374534,2225.304015,981.327831
71,44.967280336,2219.568015,963.537786
72,48.400072473,2224.141015,964.509671
73,43.999045718,2223.799015,968.233881
74,46.669569542,2222.884015,960.619176
75,52.276783975,2223.400015,981.046316
76,42.748944040,2220.878015,984.527791
77,50.030860095,2219.882015,950.380136
78,46.278650164,2220.892015,943.929056
79,53.253720130,2223.915015,970.397396
80,54.413274645,2222.320015,966.603856
81,54.970083693,2224.409015,958.236166
82,53.055749526,2221.257015,957.901951
83,50.883836118,2224.446015,976.730076
84,51.698205278,2219.292015,931.792531
85,55.687124022,2220.122015,974.987681
86,53.053124550,2220.015015,956.906196
87,50.453719460,2220.304015,949.256101
88,52.633327095,2219.406015,939.375851
89,56.313134168,2219.713015,958.407936
90,61.468883034,2221.190015,957.993736
91,54.286237588,2221.122015,971.308491
92,48.862069961,2218.997015,964.268311
93,65.732571032,2219.633015,959.133101
94,58.042806657,2222.565015,951.044646
95,57.369648319,2218.346015,947.407796
96,57.811922653,2219.448015,946.542646
97,59.114608257,2220.750015,963.998176
98,54.151937990,2219.262030,960.037811
99,63.697011040,2219.810015,975.410481
100,53.374409357,2219.579030,966.968231
